unique_id,spot_name,street,city,state,country,interest_value,date,symbol
0,New York,"Central Park, 86th St Transverse",New York,NY,us,10,9/1/2021,airport
1,Seattle,400 Broad St,Seattle,WA,us,20,11/13/2021,rail
2,Los Angela,2800 E Observatory Rd, Los Angeles, CA 90027,us,50,1/6/2022,car
3,Miami,1103 Biscayne Blvd, Miami, FL 33132,us,30,1/1/2022,airport
4,Butler Library,535 W 114th St, New York, NY 10027,us,0,1/1/2021,library
5,Dorm,536 West 113 st,new york,new york,us,0,2/1/2021,lodging
6,Popeyes,321 W 125th St, New York, NY 10027,us,20,3/1/2022,fast-food
7,starbuck,1068-1070 Chapel St, New Haven,CT,us,100,5/1/2021,
8,starbuck,1660 Litchfield Turnpike, Woodbridge,CT,us,200,5/1/2021,
9,starbuck,1911 Boston Post Road, Milford,CT,us,300,5/1/2021,
10,starbuck,2100 Dixwell Avenue,Hamden,CT,us,400,5/1/2021,
11,starbuck,25 Boston Post Rd, Orange,CT,us,200,5/1/2021,
12,starbuck,354 Saw Mill Road, West Haven,CT,us,200,5/1/2021,
13,starbuck,460 Elm St, West Haven,CT,us,300,5/1/2021,
14,starbuck,538 Boston Post Rd., Orange,CT,us,400,5/1/2021,
15,starbuck,552 New Haven Avenue, Derby,CT,us,500,5/1/2021,
16,starbuck,6 N Main St, Branford,CT,us,500,5/1/2021,
17,starbuck,975 Boston Post Rd, Milford,CT,us,500,5/1/2021,
18,starbuck,1068-1070 Chapel St, New Haven,CT,us,200,5/2/2021,
19,starbuck,1660 Litchfield Turnpike, Woodbridge,CT,us,300,5/2/2021,
20,starbuck,1911 Boston Post Road, Milford,CT,us,400,5/2/2021,
21,starbuck,2100 Dixwell Avenue,Hamden,CT,us,500,5/2/2021,
22,starbuck,25 Boston Post Rd, Orange,CT,us,600,5/2/2021,
23,starbuck,354 Saw Mill Road, West Haven,CT,us,700,5/2/2021,
24,starbuck,460 Elm St, West Haven,CT,us,800,5/2/2021,
25,starbuck,538 Boston Post Rd., Orange,CT,us,700,5/2/2021,
26,starbuck,552 New Haven Avenue, Derby,CT,us,600,5/2/2021,
27,starbuck,6 N Main St, Branford,CT,us,500,5/2/2021,
28,starbuck,975 Boston Post Rd, Milford,CT,us,700,5/2/2021,
29,starbuck,1068-1070 Chapel St, New Haven,CT,us,700,5/3/2021,
30,starbuck,1660 Litchfield Turnpike, Woodbridge,CT,us,500,5/3/2021,
31,starbuck,1911 Boston Post Road, Milford,CT,us,700,5/3/2021,
32,starbuck,2100 Dixwell Avenue,Hamden,CT,us,800,5/3/2021,
33,starbuck,25 Boston Post Rd, Orange,CT,us,900,5/3/2021,
34,starbuck,354 Saw Mill Road, West Haven,CT,us,1000,5/3/2021,
35,starbuck,460 Elm St, West Haven,CT,us,1100,5/3/2021,
36,starbuck,538 Boston Post Rd., Orange,CT,us,1400,5/3/2021,
37,starbuck,552 New Haven Avenue, Derby,CT,us,800,5/3/2021,
38,starbuck,6 N Main St, Branford,CT,us,900,5/3/2021,
39,starbuck,975 Boston Post Rd, Milford,CT,us,1000,5/3/2021,
40,starbuck,1068-1070 Chapel St, New Haven,CT,us,700,5/4/2021,
41,starbuck,1660 Litchfield Turnpike, Woodbridge,CT,us,800,5/4/2021,
42,starbuck,1911 Boston Post Road, Milford,CT,us,900,5/4/2021,
43,starbuck,2100 Dixwell Avenue,Hamden,CT,us,1000,5/4/2021,
44,starbuck,25 Boston Post Rd, Orange,CT,us,700,5/4/2021,
45,starbuck,354 Saw Mill Road, West Haven,CT,us,800,5/4/2021,
46,starbuck,460 Elm St, West Haven,CT,us,900,5/4/2021,
47,starbuck,538 Boston Post Rd., Orange,CT,us,1000,5/4/2021,
48,starbuck,552 New Haven Avenue, Derby,CT,us,1100,5/4/2021,
49,starbuck,6 N Main St, Branford,CT,us,1000,5/4/2021,
50,starbuck,975 Boston Post Rd, Milford,CT,us,1100,5/4/2021,
51,starbuck,1068-1070 Chapel St, New Haven,CT,us,900,5/5/2021,
52,starbuck,1660 Litchfield Turnpike, Woodbridge,CT,us,1000,5/5/2021,
53,starbuck,1911 Boston Post Road, Milford,CT,us,1100,5/5/2021,
54,starbuck,2100 Dixwell Avenue,Hamden,CT,us,900,5/5/2021,
55,starbuck,25 Boston Post Rd, Orange,CT,us,1000,5/5/2021,
56,starbuck,354 Saw Mill Road, West Haven,CT,us,1100,5/5/2021,
57,starbuck,460 Elm St, West Haven,CT,us,900,5/5/2021,
58,starbuck,538 Boston Post Rd., Orange,CT,us,1000,5/5/2021,
59,starbuck,552 New Haven Avenue, Derby,CT,us,1100,5/5/2021,
60,starbuck,6 N Main St, Branford,CT,us,1100,5/5/2021,
61,starbuck,975 Boston Post Rd, Milford,CT,us,1200,5/5/2021,
62,starbuck,1068-1070 Chapel St, New Haven,CT,us,1100,5/6/2021,
63,starbuck,1660 Litchfield Turnpike, Woodbridge,CT,us,1200,5/6/2021,
64,starbuck,1911 Boston Post Road, Milford,CT,us,1300,5/6/2021,
65,starbuck,2100 Dixwell Avenue,Hamden,CT,us,1100,5/6/2021,
66,starbuck,25 Boston Post Rd, Orange,CT,us,1200,5/6/2021,
67,starbuck,354 Saw Mill Road, West Haven,CT,us,1300,5/6/2021,
68,starbuck,460 Elm St, West Haven,CT,us,1100,5/6/2021,
69,starbuck,538 Boston Post Rd., Orange,CT,us,1200,5/6/2021,
70,starbuck,552 New Haven Avenue, Derby,CT,us,1500,5/6/2021,
71,starbuck,6 N Main St, Branford,CT,us,1600,5/6/2021,
72,starbuck,975 Boston Post Rd, Milford,CT,us,1700,5/6/2021,
